Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
06/03/2022,"Chocolate Bar, Brownie, With Milk & Dark Chocolate, Roasted",Chocolate,Snacks,1.0,Piece,44,0,2.60,0.40,5,1.60,4.40,0.40,0,3
06/02/2022,Foccacia Bianco,WhiteBread,Breakfast,75.0,Grams,90,0,1.50,3,16.50,0,0,1.50,n/a,435
06/02/2022,"Vegetables, Mixed, Organic",Vegetable,Lunch,85.0,Grams,47,0,0.47,1.89,9.44,0,3.78,2.83,0,18.89
06/02/2022,Whole Kernel Corn Frozen,Corn,Lunch,85.0,Grams,85,0,1.42,2.83,15.11,0,6.61,3.78,0,0
06/02/2022,"Fries, Sweet Potato, Organic from Costco (15 pieces or 85g)",FrenchFries,Lunch,100.0,Grams,165,0,7.6,1.18,24.71,1.18,9.41,2.35,0,270.59
06/02/2022,"Asparagus, Raw",Asparagus,Lunch,90.0,Grams,18,0,0.11,1.98,3.51,0,1.71,1.89,0,1.80
06/02/2022,"Chicken Breast, Skinless, Cooked",Chicken,Lunch,97.0,Grams,160,0,3.46,30.9,0,0.98,0,0,82.45,71.78
06/02/2022,Foccacia Bianco,WhiteBread,Lunch,85.0,Grams,102,0,1.70,3.40,18.70,0,0,1.70,n/a,493
06/02/2022,Hotsauce,Sauce,Lunch,38.0,Milliliters,38,0,2.22,0.13,3.17,0.13,1.90,0,0,1140
06/02/2022,"Chia Seeds, Organic",Seed,Dinner,20.0,Grams,93,0,6,2.67,8,0.67,0,6.67,0,2.67
06/02/2022,Raspberries Frozen. 80 Gram = 3/4 Cup,Raspberry,Dinner,80.0,Grams,40,0,0.50,1,10,0,4,5,0,0
06/02/2022,Frozen Sliced Peaches,Peach,Dinner,85.0,Grams,31,0,0,0.52,6.77,0,6.24,1.4,0,10.41
06/02/2022,"Oat Milk, Unsweetened, Vanilla",Milk,Dinner,94.0,Milliliters,53,0,1.88,1.50,7.52,0.94,2.26,0.75,0,45.12
06/02/2022,"Yogurt, Vanilla, Nonfat, Greek",Yogurt,Dinner,175.0,Grams,140,0,0,14,22,0,22,0,10,55
06/02/2022,Oatmeal Cookie Crunch Granola,Grain,Dinner,15.0,Grams,71,0,3.82,1.64,8.45,0.82,2.18,1.64,n/a,25.91
06/02/2022,Raspberries,Raspberry,Dinner,84.0,Grams,44,0,0.55,1.1,10.3,0.1,3.71,5.46,0,0.84
06/01/2022,Olive Hearth Loaf,OliveBlack,Breakfast,1.0,Serving,150,0,2.50,6,26,0.30,0,2,0,320
06/01/2022,Butter regular 2tsp Per Serv,Butter,Breakfast,4.2,Grams,29,0,3.36,0.4,0,2.10,0,0,10.50,0
06/01/2022,"Cookie, M & M",Cookie,Lunch,0.5,Each,105,0,5,1,15,2.50,9,0.25,7.50,50
06/01/2022,Steak And Cheese Sandwhich,SubSandwich,Lunch,1.0,Serving,620,0,20,46,76,10,8,2,100,2180
06/01/2022,Subway Garlic Aioli,Garlic,Lunch,1.0,Serving,60,0,5,0,1,0,0,0,0,198
06/01/2022,"Sauce, Chipotle Southwest, 6"" Portion",Sauce,Lunch,2.0,Tablespoons,100,0,10,0,1,1.50,1,0,5,160
06/01/2022,Herb And Cheese Bread,WhiteBread,Lunch,1.0,Serving,200,0,5,9,36,2,2,1,10,550
06/01/2022,45% Cocoa Dark Chocolate,Chocolate,Snacks,4.0,Pieces,89,0,4.89,0.89,10.67,2.67,9.33,1.33,n/a,n/a
05/31/2022,Olive Hearth Loaf,OliveBlack,Breakfast,1.0,Serving,150,0,2.50,6,26,0.30,0,2,0,320
05/31/2022,Butter regular 2tsp Per Serv,Butter,Breakfast,4.5,Grams,32,0,3.60,0.5,0,2.25,0,0,11.25,0
05/31/2022,"Cherries, California Sweet (8)",Cherry,Breakfast,10.0,Pieces,45,0,0.25,1,11,0,9.50,1.50,0,0
05/31/2022,"Fries, Sweet Potato, Organic from Costco (15 pieces or 85g)",FrenchFries,Lunch,100.0,Grams,165,0,7.6,1.18,24.71,1.18,9.41,2.35,0,270.59
05/31/2022,"Vegetables, Mixed, Organic",Vegetable,Lunch,85.0,Grams,47,0,0.47,1.89,9.44,0,3.78,2.83,0,18.89
05/31/2022,Whole Kernel Corn Frozen,Corn,Lunch,85.0,Grams,85,0,1.42,2.83,15.11,0,6.61,3.78,0,0
05/31/2022,Butter regular 2tsp Per Serv,Butter,Lunch,7.5,Grams,53,0,6,0.8,0,3.75,0,0,18.75,0
05/31/2022,Olive Hearth Loaf,OliveBlack,Lunch,1.0,Serving,150,0,2.50,6,26,0.30,0,2,0,320
05/31/2022,Summer Fresh TZATZIKI Yogurt Dip (15g Tbsp),Yogurt,Lunch,1.0,Tablespoon,20,0,1.50,0.50,1,0.75,0.50,0,2.50,22.50
05/31/2022,"Fish, Salmon, Cooked",Fish,Dinner,130.0,Grams,194,0,5.75,33.23,0,0.92,0,0,87.10,111.80
05/31/2022,"Asparagus, Raw",Asparagus,Dinner,130.0,Grams,26,0,0.16,2.86,5.7,0,2.47,2.73,0,2.60
05/31/2022,Summer Fresh TZATZIKI Yogurt Dip (15g Tbsp),Yogurt,Dinner,2.0,Tablespoons,40,0,3,1,2,1.50,1,0,5,45
05/31/2022,Fibre One Brownies,Brownie,Snacks,2.0,Servings,180,0,6,2,36,3,14,10,0,170
05/31/2022,45% Cocoa Dark Chocolate,Chocolate,Snacks,5.0,Pieces,111,0,6.11,1.11,13.33,3.33,11.67,1.67,n/a,n/a
05/30/2022,"Cherries, California Sweet (8)",Cherry,Breakfast,10.0,Pieces,45,0,0.25,1,11,0,9.50,1.50,0,0
05/30/2022,Olive Hearth Loaf,OliveBlack,Breakfast,1.0,Serving,150,0,2.50,6,26,0.30,0,2,0,320
05/30/2022,Butter regular 2tsp Per Serv,Butter,Breakfast,7.2,Grams,50,0,5.76,0.7,0,3.60,0,0,18,0
05/30/2022,Fibre One Brownies,Brownie,Breakfast,1.0,Serving,90,0,3,1,18,1.50,7,5,0,85
05/30/2022,Whole Kernel Corn Frozen,Corn,Lunch,85.0,Grams,85,0,1.42,2.83,15.11,0,6.61,3.78,0,0
05/30/2022,White Kidney Beans,BeanWhite,Lunch,0.5,Cup,85,0,0.47,6.62,17.3,0,0,4.73,0,99.37
05/30/2022,"Beans, Canned, Black",BeanBlack,Lunch,0.5,Cup,100,0,0.50,8,20,0,0,7,0,100
05/30/2022,Chicken Ham & Swiss,Chicken,Lunch,1.0,Piece,290,0,12,24,21,3,1,1,60,510
05/30/2022,"Vegetables, Mixed, Organic",Vegetable,Lunch,85.0,Grams,47,0,0.47,1.89,9.44,0,3.78,2.83,0,18.89
05/30/2022,Butter regular 2tsp Per Serv,Butter,Lunch,4.5,Grams,32,0,3.60,0.5,0,2.25,0,0,11.25,0
05/30/2022,45% Cocoa Dark Chocolate,Chocolate,Snacks,1.0,Piece,22,0,1.22,0.22,2.67,0.67,2.33,0.33,n/a,n/a
05/30/2022,Olive Hearth Loaf,OliveBlack,Snacks,0.5,Serving,75,0,1.25,3,13,0.15,0,1,0,160
05/30/2022,Butter regular 2tsp Per Serv,Butter,Snacks,4.0,Grams,28,0,3.20,0.4,0,2,0,0,10,0
05/30/2022,"Cherries, California Sweet (8)",Cherry,Snacks,8.0,Pieces,36,0,0.20,0.80,8.80,0,7.60,1.20,0,0
05/30/2022,"Fries, Sweet Potato, Organic from Costco (15 pieces or 85g)",FrenchFries,Snacks,130.0,Grams,214,0,9.18,1.53,32.12,1.53,12.24,3.6,0,351.76
